Year,Location,Value,District
2005,Ramersdorf - Perlach,"68,4",16
2005,Obergiesing - Fasangarten,"71,7",17
2005,Untergiesing - Harlaching,"68,6",18
2005,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"66,9",19
2005,Hadern,"65,7",20
2005,Pasing - Obermenzing,"67,8",21
2005,Aubing - Lochhausen - Langwied,"65,3",22
2005,Allach - Untermenzing,"65,9",23
2005,Feldmoching - Hasenbergl,"65,2",24
2005,Laim,"69,1",25
2004,Stadt München,"70,8",00
2004,Altstadt - Lehel,75,01
2004,Ludwigsvorstadt - Isarvorstadt,79,02
2004,Maxvorstadt,79,03
2004,Schwabing - West,"74,1",04
2004,Au - Haidhausen,"74,7",05
2004,Sendling,"73,9",06
2004,Sendling - Westpark,"69,7",07
2004,Schwanthalerhöhe,76,08
2004,Neuhausen - Nymphenburg,"71,9",09
2004,Moosach,"69,9",10
2004,Milbertshofen - Am Hart,"71,2",11
2004,Schwabing - Freimann,74,12
2004,Bogenhausen,"70,5",13
2004,Berg am Laim,"70,2",14
2004,Trudering - Riem,"69,2",15
2004,Ramersdorf - Perlach,"68,9",16
2004,Obergiesing - Fasangarten,"71,7",17
2004,Untergiesing - Harlaching,"69,1",18
2004,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"67,7",19
2004,Hadern,"66,6",20
2004,Pasing - Obermenzing,"68,3",21
2004,Aubing - Lochhausen - Langwied,"66,1",22
2004,Allach - Untermenzing,"66,3",23
2004,Feldmoching - Hasenbergl,"65,7",24
2004,Laim,"69,5",25
2003,Stadt München,"71,3",00
2003,Altstadt - Lehel,"75,5",01
2003,Ludwigsvorstadt - Isarvorstadt,"79,3",02
2003,Maxvorstadt,"79,2",03
2003,Schwabing - West,"74,8",04
2003,Au - Haidhausen,75,05
2003,Sendling,"73,8",06
2003,Sendling - Westpark,"70,1",07
2003,Schwanthalerhöhe,"76,3",08
2003,Neuhausen - Nymphenburg,"72,2",09
2003,Moosach,"70,3",10
2003,Milbertshofen - Am Hart,"71,9",11
2003,Schwabing - Freimann,"74,2",12
2003,Bogenhausen,"71,3",13
2003,Berg am Laim,"70,6",14
2003,Trudering - Riem,70,15
2003,Ramersdorf - Perlach,"69,5",16
2003,Obergiesing - Fasangarten,"71,9",17
2003,Untergiesing - Harlaching,"69,6",18
2003,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"68,4",19
2003,Hadern,"67,3",20
2003,Pasing - Obermenzing,"68,8",21
2003,Aubing - Lochhausen - Langwied,"66,9",22
2003,Allach - Untermenzing,"66,7",23
2003,Feldmoching - Hasenbergl,"66,2",24
2003,Laim,"69,8",25
2002,Stadt München,"71,6",00
2002,Altstadt - Lehel,"76,2",01
2002,Ludwigsvorstadt - Isarvorstadt,"79,5",02
2002,Maxvorstadt,"79,1",03
2002,Schwabing - West,"74,9",04
2002,Au - Haidhausen,75,05
2002,Sendling,"74,1",06
2002,Sendling - Westpark,"70,4",07
